positionId,positionName,companyFullName,companySize,industryField,financeStage,createTime,city,salary,workYear,jobNature,education
6972307,Python后端开发工程师,简阳联盟凯睿企业管理有限公司,150-500人,企业服务 人工智能,B轮,2020-04-07 19:28:01,北京,25k-35k,不限,全职,本科
5807795,高级后端开发工程师（C++/GO/Python）,北京旷视科技有限公司,500-2000人,人工智能,D轮及以上,2020-04-07 19:27:31,北京,25k-50k,3-5年,全职,本科
6915133,python后端实习生（可转正）,北京星尘纪元智能科技有限公司,15-50人,数据服务 移动互联网,A轮,2020-04-07 19:26:58,北京,3k-6k,1年以下,全职,本科
6953110,python开发,易宝软件科技（南京）有限公司,150-500人,移动互联网,上市公司,2020-04-07 19:52:30,杭州,11k-16k,1-3年,全职,本科
6815507,IEG-python后台开发工程师,腾讯科技（深圳）有限公司,2000人以上,社交,上市公司,2020-04-07 19:50:23,深圳,25k-50k,3-5年,全职,本科
4164766,Python讲师,北京奥鹏远程教育中心有限公司,50-150人,移动互联网 教育,不需要融资,2020-04-07 19:29:55,北京,10k-20k,1-3年,全职,大专
5664887,python开发工程师,北京棕榈创想科技有限公司,150-500人,移动互联网,A轮,2020-04-07 19:26:53,成都,10k-20k,3-5年,全职,本科
6947717,高级python,达而观信息科技（上海）有限公司,150-500人,人工智能,B轮,2020-04-07 19:25:48,上海,16k-30k,3-5年,全职,本科
6963736,Python实习生,北京自如生活企业管理有限公司,2000人以上,房产家居,A轮,2020-04-07 19:24:30,北京,3k-5k,应届毕业生,实习,本科
6524291,编程猫少儿编程教师（Python方向）,深圳点猫科技有限公司,2000人以上,移动互联网 教育,C轮,2020-04-07 19:24:13,广州,8k-12k,1-3年,全职,本科
6972995,python开发,深圳市博悦科创科技有限公司,500-2000人,移动互联网,不需要融资,2020-04-07 19:21:58,深圳,10k-15k,3-5年,全职,本科
6937598,python后端工程师,上海极链网络科技有限公司,150-500人,数据服务 文娱丨内容,D轮及以上,2020-04-07 19:21:47,上海,20k-40k,3-5年,全职,硕士
5926847,python开发工程师,深圳市微赢世纪网络科技有限公司,15-50人,人工智能 工具,天使轮,2020-04-07 19:21:33,深圳,15k-30k,3-5年,全职,大专
6955317,Python开发工程师-财务报表平台,北京字节跳动科技有限公司,2000人以上,文娱丨内容,C轮,2020-04-07 19:21:29,北京,20k-40k,3-5年,全职,本科
5768526,Python开发实习生,北京搜狐新媒体信息技术有限公司,2000人以上,移动互联网 广告营销,上市公司,2020-04-07 19:20:59,广州,2k-3k,应届毕业生,实习,不限
6421337,python爬虫,上海纳纳科技有限公司,50-150人,企业服务 数据服务,不需要融资,2020-04-07 19:13:35,上海,10k-20k,1-3年,全职,本科
6565931,python开发工程师,北京向上一心科技有限公司,500-2000人,移动互联网 金融,上市公司,2020-04-07 19:12:54,北京,20k-40k,3-5年,全职,本科
6275500,后台研发工程师（go/Python）G00126,成都新希望金融科技有限公司,150-500人,移动互联网 金融,不需要融资,2020-04-07 19:12:12,成都,8k-11k,不限,全职,本科
5262913,python讲师,北京奥鹏远程教育中心有限公司,50-150人,移动互联网 教育,不需要融资,2020-04-07 19:29:36,北京,15k-30k,3-5年,全职,大专
5196910,高级Python开发工程师,达而观信息科技（上海）有限公司,150-500人,人工智能,B轮,2020-04-07 19:25:48,成都,15k-25k,3-5年,全职,本科
5189420,Python培训讲师,深圳点猫科技有限公司,2000人以上,移动互联网 教育,C轮,2020-04-07 19:24:13,北京,8k-15k,3-5年,全职,本科
6066986,Python后端高级开发工程师,上海纳纳科技有限公司,50-150人,企业服务 数据服务,不需要融资,2020-04-07 19:13:34,上海,15k-25k,3-5年,全职,本科
6797210,Python开发工程师,成都新希望金融科技有限公司,150-500人,移动互联网 金融,不需要融资,2020-04-07 19:12:11,成都,15k-30k,3-5年,全职,本科
6689610,Python开发工程师,北京猎户星空科技有限公司,500-2000人,移动互联网 硬件,B轮,2020-04-07 19:11:58,北京,18k-35k,3-5年,全职,本科
6179574,银行业务后台开发工程师-Python,富途网络科技（深圳）有限公司,500-2000人,金融,上市公司,2020-04-07 19:11:26,深圳,14k-28k,1-3年,全职,本科
6851496,Python开发工程师-AI Lab,北京字节跳动科技有限公司,2000人以上,文娱丨内容,C轮,2020-04-07 19:10:15,上海,20k-30k,1-3年,全职,本科
6929363,Python工程师,深度好奇（北京）科技有限公司,15-50人,企业服务 数据服务,天使轮,2020-04-07 19:09:25,北京,12k-24k,不限,全职,本科
6966130,python开发工程师,北京香侬慧语科技有限责任公司,50-150人,企业服务 数据服务,A轮,2020-04-07 19:08:51,北京,10k-15k,1-3年,全职,本科
6887028,Python开发工程师,乐麦信息技术（杭州）有限公司,500-2000人,电商,不需要融资,2020-04-07 19:05:12,杭州,10k-20k,3-5年,全职,本科
6398797,C++/Python/Java研发工程师,百度在线网络技术（北京）有限公司,2000人以上,工具,不需要融资,2020-04-07 19:03:13,北京,25k-50k,1-3年,全职,本科
6979108,高级Python研发工程师,许昌北邮万联网络技术有限公司,50-150人,人工智能 软件开发,A轮,2020-04-07 19:00:54,许昌,15k-30k,5-10年,全职,本科
3223944,Python工程师,深圳市紫川软件有限公司,500-2000人,电商 金融,不需要融资,2020-04-07 19:00:48,深圳,13k-20k,3-5年,全职,本科
6072193,高级python,杭州慧川智能科技有限公司,15-50人,移动互联网,A轮,2020-04-07 19:00:36,杭州,20k-40k,5-10年,全职,大专
5533182,资讯与社区-Python后台开发工程师,富途网络科技（深圳）有限公司,500-2000人,金融,上市公司,2020-04-07 19:11:25,深圳,15k-30k,1-3年,全职,不限
6819285,ACG智慧医疗事业部_Python后端工程师,百度在线网络技术（北京）有限公司,2000人以上,工具,不需要融资,2020-04-07 19:03:12,北京,18k-36k,不限,全职,本科
6889986,高级Python工程师（爬虫）(J10059),广州中康资讯股份有限公司,150-500人,移动互联网 医疗丨健康,不需要融资,2020-04-07 18:59:40,广州,15k-25k,5-10年,全职,本科
6950674,Python开发工程师,北京金山云网络技术有限公司,2000人以上,移动互联网 数据服务,D轮及以上,2020-04-07 18:59:10,北京,20k-40k,3-5年,全职,本科
6902442,python开发,深圳平安综合金融服务有限公司,2000人以上,金融,上市公司,2020-04-07 18:58:52,深圳,20k-40k,5-10年,全职,本科
6578596,PTBU-后端开发工程师（python),广州酷狗计算机科技有限公司,500-2000人,文娱丨内容,上市公司,2020-04-07 18:57:45,广州,15k-30k,3-5年,全职,本科
6972269,Python开发工程师,简阳联盟凯睿企业管理有限公司,150-500人,企业服务 人工智能,B轮,2020-04-07 18:56:21,北京,20k-40k,3-5年,全职,本科
6921063,Java/Python后端,北京吧咔科技有限公司,50-150人,移动互联网,B轮,2020-04-07 18:54:18,北京,10k-20k,应届毕业生,全职,本科
6825595,python高级开发工程师,华世界科技（深圳）有限公司,50-150人,电商,未融资,2020-04-07 18:52:44,深圳,15k-25k,3-5年,全职,本科
6939569,Python 后端项目经理,深圳市乐瀛科技有限公司,15-50人,移动互联网 电商,未融资,2020-04-07 18:51:57,深圳,11k-22k,3-5年,全职,大专
6820334,python数据分析,上海微创软件股份有限公司,2000人以上,企业服务 移动互联网,不需要融资,2020-04-07 18:49:53,上海,15k-22k,3-5年,全职,本科
6086122,Python高级开发工程师,江曲投资咨询（上海）有限公司,150-500人,电商,C轮,2020-04-07 18:46:48,上海,15k-30k,5-10年,全职,本科
5320384,python后端开发工程师,北京墨云科技有限公司,50-150人,信息安全,B轮,2020-04-07 18:46:45,南京,15k-30k,3-5年,全职,本科
6785016,Python开发工程师,北京游道易网络文化有限公司,50-150人,移动互联网 游戏,B轮,2020-04-07 18:45:32,北京,15k-25k,3-5年,全职,本科
6788126,Python工程师,上海淇毓信息科技有限公司,500-2000人,金融,上市公司,2020-04-07 18:45:05,上海,15k-30k,3-5年,全职,本科
6940470,Python初级工程师,华世界科技（深圳）有限公司,50-150人,电商,未融资,2020-04-07 18:52:43,深圳,7k-12k,1年以下,全职,本科
5891196,python后端,深圳市乐瀛科技有限公司,15-50人,移动互联网 电商,未融资,2020-04-07 18:51:57,深圳,10k-14k,1-3年,全职,大专
6086135,python开发工程师,江曲投资咨询（上海）有限公司,150-500人,电商,C轮,2020-04-07 18:46:48,上海,10k-20k,1-3年,全职,本科
6818756,Python爬虫工程师,北京墨云科技有限公司,50-150人,信息安全,B轮,2020-04-07 18:46:44,北京,20k-40k,3-5年,全职,不限
5951154,python爬虫,北京数美时代科技有限公司,150-500人,企业服务 数据服务,C轮,2020-04-07 18:44:43,北京,10k-20k,应届毕业生,全职,本科
6803993,Python开发工程师,深圳市优必选科技股份有限公司,500-2000人,移动互联网 硬件,C轮,2020-04-07 18:44:40,深圳,15k-20k,3-5年,全职,本科
6764554,大数据平台开发工程师（java/python）,北京捷通华声科技股份有限公司,150-500人,移动互联网 数据服务,D轮及以上,2020-04-07 18:43:32,北京,15k-30k,3-5年,全职,本科
